"Timestamp","1. Sugu","2. Vanus","3. Teie roll ÕIS2 kasutajana.","4. Millises TLÜ instituudis õpite?","5. Kui tihti külastate ÕIS2 keskkonda?","6. Millist seadet kasutate kõige enam ÕIS2 külastamiseks?","7. Teie rahulolu ÕIS2 kasutajaliidesega.","8. Millist ÕIS2 sisselogimise viisi kõige enam kasutate?","9. Millisest sisselogimise viisist tunnete puudust?","10. Kas ÕIS2 menüüs olevad jaotused on Teie jaoks selgesti mõistetavad?","11. Millised on ÕIS2 menüü puudused Teie jaoks?","12. Kuidas otsite registreeritavat ainet?","13. Millist viisi kasutate kõige enam tunniplaani vaatamiseks?","14. Kas Teie jaoks on ÕIS2 õpingukava vaatamise vorm lihtsasti arusaadav?","15. Mis on tekitanud Teie jaoks ÕIS2 õpingukava vormis probleeme?","16. Milliseid ÕIS2 õpingukavas olevate ainete infolinke olete kasutanud?"
"2019/04/17 10:56:19 am GMT+3","Naine","38","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Arvuti","3","ID-Kaart","","Jah","","Aine nimetuse järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 11:06:50 am GMT+3","Naine","21","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Nutitelefon","3","Ülikooli konto","","Jah","","Aine nimetuse järgi","ÕIS2","Jah","",""
"2019/04/17 11:09:21 am GMT+3","Mees","21","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Arvuti","4","Ülikooli konto","","Jah","","Ainekoodi järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 11:11:37 am GMT+3","Mees","26","Üliõpilane","Digitehnoloogiate instituut","enam kui kord päevas","Nutitelefon","3","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 11:12:05 am GMT+3","Mees","26","Üliõpilane","Digitehnoloogiate instituut","enam kui kord päevas","Nutitelefon","3","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO mobiilversioon","Ei","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:45:20 pm GMT+3","Mees","26","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Tahvelarvuti","3","ID-Kaart","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke"
"2019/04/17 12:46:16 pm GMT+3","Mees","25","Üliõpilane","Digitehnoloogiate instituut","enam kui kord kuus","Arvuti","2","Ülikooli konto","","Ei","segased menüüd","Õppejõu nime järgi","ÕIS2","Jah","","kursuseprogrammi linke"
"2019/04/17 12:48:38 pm GMT+3","Naine","23","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Tahvelarvuti","4","Ülikooli konto","smart id","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:49:24 pm GMT+3","Ei soovi vastata","28","Üliõpilane","Digitehnoloogiate instituut","kord kuus","Arvuti","5","Ülikooli konto","","Jah","","Aine nimetuse järgi","ÕIS2","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:50:29 pm GMT+3","Mees","22","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Nutitelefon","4","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:51:47 pm GMT+3","Naine","20","Üliõpilane","Digitehnoloogiate instituut","enam kui kord päevas","Nutitelefon","5","Ülikooli konto","smart-id","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:52:32 pm GMT+3","Mees","20","Üliõpilane","Balti filmi, meedia, kunstide ja kommunikatsiooni instituut","kord nädalas","Nutitelefon","3","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke"
"2019/04/17 12:53:02 pm GMT+3","Mees","23","Üliõpilane","Digitehnoloogiate instituut","enam kui kord päevas","Nutitelefon","2","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:53:25 pm GMT+3","Mees","22","Üliõpilane","Haridusteaduste instituut","enam kui kord päevas","Nutitelefon","2","Ülikooli konto","smart id","Jah","","Ainekoodi järgi","ASIO mobiilversioon","Ei","raske on registreeritavaid aineid leida","kursuseprogrammi linke;kursuse veebilinke"
